Set parameter WLSAccessID
Set parameter WLSSecret
Set parameter LicenseID to value 2620426
Academic license 2620426 - for non-commercial use only - registered to so___@uca.fr
    Model Name               | Minimum |   Median  |   Mean   | Maximum
----------------------------------------------------------------------------
30n20b8                      |   -1e+01 |      4.9 |      5.6 |  3.1e+01
50v-10                       |  8.7e+04 |  1.1e+05 |  1.1e+05 |  1.4e+05
academictimetablesmall       |      5.6 |      5.9 |      5.9 |      6.3
air05                        |      1.1 |      1.3 |      1.3 |      1.4
app1-1                       |      8.3 |      9.7 |      9.6 |  1.1e+01
app1-2                       |  3.1e+01 |  3.2e+01 |  3.2e+01 |  3.3e+01
assign1-5-8                  |     0.53 |  1.3e+01 |  1.3e+01 |  2.8e+01
atlanta-ip                   |  7.8e+02 |    2e+03 |    2e+03 |  3.8e+03
b1c1s1                       |  1.7e+03 |  3.1e+03 |  3.1e+03 |    5e+03
bab2                         |      3.9 |      4.0 |      4.0 |      4.2
bab6                         |      3.9 |      4.0 |      4.0 |      4.2
beasleyC3                    |    5e+02 |    6e+02 |    6e+02 |  6.9e+02
binkar10_1                   |      3.5 |      4.2 |      4.1 |      4.9
blp-ar98                     | -1.6e+02 |  2.1e+01 |  1.1e+02 |  1.2e+03
blp-ic98                     | -1.2e+02 |  1.5e+01 |  1.1e+02 |  7.6e+02
bnatt400                     |      7.7 |      8.6 |      8.6 |      9.5
bnatt500                     |      8.8 |      9.6 |      9.7 |  1.1e+01
cbs-cta                      |  3.6e+03 |  6.2e+03 |  6.1e+03 |    9e+03
chromaticindex1024-7         |  5.2e+01 |  5.3e+01 |  5.3e+01 |  5.4e+01
chromaticindex512-7          |  3.6e+01 |  3.7e+01 |  3.7e+01 |  3.8e+01
cmflsp50-24-8-8              |      3.3 |      3.7 |      3.7 |      4.1
CMS750_4                     | -1.1e+03 |  2.5e+05 |  3.1e+05 |  1.7e+06
co-100                       |      3.7 |      4.0 |      4.0 |      4.4
cod105                       |     0.66 |     0.73 |     0.73 |      0.8
comp07-2idx                  |  1.9e+01 |  1.9e+01 |    2e+01 |    2e+01
comp21-2idx                  |  1.7e+01 |  1.8e+01 |  1.8e+01 |  1.9e+01
cost266-UUE                  |  1.1e+05 |  1.2e+05 |  1.2e+05 |  1.3e+05
csched007                    | -3.3e+01 |  2.2e+01 |  2.2e+01 |  8.7e+01
cvs16r128-89                 |      3.1 |      3.4 |      3.4 |      3.7
decomp2                      |  1.2e+01 |  1.3e+01 |  1.3e+01 |  1.3e+01
drayage-100-23               | -3.7e+03 |  1.8e+03 |  1.8e+03 |  7.2e+03
drayage-25-23                |   -4e+03 |  1.7e+03 |  1.8e+03 |  8.2e+03
dws008-01                    |  1.1e+02 |  1.8e+02 |  1.8e+02 |  2.8e+02
eil33-2                      |     0.17 |     0.24 |     0.24 |     0.37
eilA101-2                    |     0.13 |     0.17 |     0.17 |     0.23
enlight_hard                 |      1.2 |      4.0 |      4.0 |      7.4
exp-1-500-5-5                |  2.8e+03 |  3.5e+03 |  3.5e+03 |  4.5e+03
fast0507                     |  9.8e+01 |    1e+02 |    1e+02 |    1e+02
fastxgemm-n2r6s0t2           |  1.2e+01 |  1.3e+01 |  1.3e+01 |  1.5e+01
fhnw-binpack4-4              |  4.9e+01 |  1.4e+02 |  1.4e+02 |  2.8e+02
fhnw-binpack4-48             |  9.6e+01 |  1.6e+02 |  1.6e+02 |  2.6e+02
fiball                       |  1.9e+01 |  3.5e+01 |  3.6e+01 |  6.8e+01
gen-ip002                    |      6.6 |  1.5e+01 |  1.5e+01 |  2.7e+01
germanrr                     | -1.4e+06 |  1.3e+04 |  8.5e+04 |  1.7e+06
glass-sc                     |      4.3 |      5.8 |      5.8 |      7.1
gmu-35-40                    |      5.1 |  2.9e+01 |  5.1e+01 |    3e+02
gmu-35-50                    |      7.5 |  2.4e+01 |  4.8e+01 |  2.7e+02
graph20-20-1rand             |      1.3 |      1.5 |      1.5 |      1.7
h80x6320d                    |  5.7e+02 |  6.1e+02 |  6.1e+02 |  6.4e+02
hypothyroid-k1               |      7.8 |    2e+01 |  3.3e+01 |  1.5e+02
ic97_potential               |  8.6e+01 |  1.4e+02 |  1.4e+02 |    2e+02
icir97_tension               |  2.7e+02 |  3.8e+02 |  3.8e+02 |  4.9e+02
irp                          |     0.15 |     0.19 |     0.19 |     0.26
